id;title;content;date;rank_one;rank_two;rank_three;rank_four;rank_five;user_id;topic_id
1;Saint Helena Pound mesh;EXE Tasty Rubber Chips;2020-02-19T06:58:10;40822;35368;64927;13625;5825;1;1
2;Buckinghamshire;help-desk 24/7 transform;2020-02-18T23:39:18;53404;33360;83243;19754;69443;2;2
3;orchid New York;Isle;2020-02-18T18:42:52;80084;96055;39962;70149;22662;2;3
4;hardware;Suriname Handmade Common;2020-02-18T19:50:18;26712;82737;4802;29462;36928;2;4
5;Up-sized enterprise;PCI Communications;2020-02-19T01:32:19;20777;18335;3931;78289;77338;1;5
6;microchip Personal Loan Account withdrawal;Sleek Awesome;2020-02-18T23:14:22;11460;5985;25395;18140;69509;2;6
7;navigate Soft;Ergonomic Cotton Computer solutions;2020-02-18T14:24:43;65013;63075;41787;87039;95438;1;7
8;Buckinghamshire Money Market Account Home;synthesize;2020-02-19T11:54:30;98508;23754;33722;46536;39926;2;8
9;PCI synthesize withdrawal;matrix;2020-02-18T19:26:05;39644;40324;81172;87797;30427;2;9
10;Georgia Rhode Island stable;Beauty Gateway;2020-02-19T09:22:05;65443;13680;67949;63627;5725;2;10
